biwenger_id,biwenger_name,biwenger_team,biwenger_birth_date,tm_id,tm_name,tm_club,tm_birth_date,tm_position,motivo,decision
12550,Francisco Montero,,1999-01-14,,,,,,sin-candidato,
15395,Álex Petxa,,1997-02-06,,,,,,sin-candidato,
1802,Cristian Herrera,,1991-03-23,237617,Cristian Herrera,UD Las Palmas,1991-03-13,Centre-Forward,fecha-discrepante,
19285,Pacha Espino,,1992-01-05,,,,,,sin-candidato,
1984,Luismi,,1992-05-05,1064499,Luismi Quirant,Elche CF,2004-10-28,Goalkeeper,fecha-discrepante,
2184,Ryan,,1992-09-17,128969,Mathew Ryan,Levante UD,1992-04-08,Goalkeeper,fecha-discrepante,
2635,Domingos Duarte,,1995-03-03,257376,Domingos Duarte,Getafe CF,1995-03-10,Centre-Back,fecha-discrepante,
35283,Coba Gomes,,2002-07-26,,,,,,sin-candidato,
37645,Hugo Pérez,,2002-12-16,,,,,,sin-candidato,
38442,Albarracín,,2006-04-28,,,,,,sin-candidato,
39925,Wesley,,2005-05-03,1007378,Wesley,Real Sociedad,2005-03-05,Left Winger,fecha-discrepante,
40915,Mulattieri,,2000-07-10,,,,,,sin-candidato,
41096,Víctor García,,1994-05-31,,,,,,sin-candidato,
41260,Manex Lozano,,2007-02-23,,,,,,sin-candidato,
41269,Aldasoro,,1999-06-05,,,,,,sin-candidato,
41272,Mario García,,2003-10-02,,,,,,sin-candidato,
41273,Sangalli,,1992-07-02,,,,,,sin-candidato,
41274,Javi Castro,,2000-09-13,,,,,,sin-candidato,
41410,Josué Dorrio,,1994-03-03,,,,,,sin-candidato,
41417,Gabilondo,,1999-09-04,,,,,,sin-candidato,
41558,Celorio,,2004-07-03,,,,,,sin-candidato,
41564,Michelin,,1997-11-05,,,,,,sin-candidato,
41569,Luis Chacón,,2000-05-30,,,,,,sin-candidato,
42268,Ateya,,2008-01-01,,,,,,sin-candidato,
