canonical_id,fuente,id_en_fuente,metodo,fecha
p00001,biwenger,11,auto,2026-07-13
p00001,sofascore,604258,auto,2026-07-17
p00001,transfermarkt,226012,auto,2026-07-13
p00002,biwenger,20,auto,2026-07-13
p00002,sofascore,876214,auto,2026-07-17
p00002,transfermarkt,466794,auto,2026-07-13
p00003,biwenger,21,auto,2026-07-13
p00003,sofascore,66492,auto,2026-07-17
p00003,transfermarkt,59016,auto,2026-07-13
p00004,biwenger,33,auto,2026-07-13
p00004,sofascore,345111,auto,2026-07-17
p00004,transfermarkt,257062,auto,2026-07-13
p00005,biwenger,91,auto,2026-07-13
p00005,sofascore,604954,auto,2026-07-17
p00005,transfermarkt,298976,auto,2026-07-13
p00006,biwenger,129,auto,2026-07-13
p00006,sofascore,835485,auto,2026-07-17
p00006,transfermarkt,314678,auto,2026-07-13
p00007,biwenger,163,auto,2026-07-13
p00007,sofascore,609752,auto,2026-07-17
p00007,transfermarkt,342385,auto,2026-07-13
p00008,biwenger,290,auto,2026-07-13
p00008,sofascore,1630975,auto,2026-07-17
p00008,transfermarkt,638124,auto,2026-07-13
p00009,biwenger,742,auto,2026-07-13
p00009,sofascore,84972,auto,2026-07-17
p00009,transfermarkt,93936,auto,2026-07-13
p00010,biwenger,832,auto,2026-07-13
p00010,sofascore,96369,auto,2026-07-17
p00010,transfermarkt,126737,auto,2026-07-13
p00011,biwenger,856,auto,2026-07-13
p00011,sofascore,53739,auto,2026-07-17
p00011,transfermarkt,76467,auto,2026-07-13
p00012,biwenger,897,auto,2026-07-13
p00012,sofascore,592012,auto,2026-07-17
p00012,transfermarkt,338425,auto,2026-07-13
p00013,biwenger,947,auto,2026-07-13
p00013,sofascore,41560,auto,2026-07-17
p00013,transfermarkt,66106,auto,2026-07-13
p00014,biwenger,951,auto,2026-07-13
p00014,sofascore,39182,auto,2026-07-17
p00014,transfermarkt,59561,auto,2026-07-13
p00015,biwenger,1074,auto,2026-07-13
p00015,sofascore,84531,auto,2026-07-17
p00015,transfermarkt,61812,auto,2026-07-13
p00016,biwenger,1083,auto,2026-07-13
p00016,sofascore,84539,auto,2026-07-17
p00016,transfermarkt,74229,auto,2026-07-13
