canonical_id,fuente,id_en_fuente,metodo,fecha
t001,biwenger,1,auto,2026-07-13
t001,sofascore,2825,auto,2026-07-17
t001,transfermarkt,621,auto,2026-07-13
t002,biwenger,2,auto,2026-07-13
t002,sofascore,2836,auto,2026-07-17
t002,transfermarkt,13,auto,2026-07-13
t003,biwenger,5,auto,2026-07-13
t003,sofascore,2821,auto,2026-07-17
t003,transfermarkt,940,auto,2026-07-13
t004,biwenger,8,auto,2026-07-13
t004,sofascore,2859,auto,2026-07-17
t004,transfermarkt,3709,auto,2026-07-13
t005,biwenger,10,auto,2026-07-13
t005,sofascore,2849,auto,2026-07-17
t005,transfermarkt,3368,auto,2026-07-13
t006,biwenger,13,auto,2026-07-13
t006,sofascore,2824,auto,2026-07-17
t006,transfermarkt,681,auto,2026-07-13
t007,biwenger,15,auto,2026-07-13
t007,sofascore,2829,auto,2026-07-17
t007,transfermarkt,418,auto,2026-07-13
t008,biwenger,17,auto,2026-07-13
t008,sofascore,2833,auto,2026-07-17
t008,transfermarkt,368,auto,2026-07-13
t009,biwenger,18,auto,2026-07-13
t009,sofascore,2828,auto,2026-07-17
t009,transfermarkt,1049,auto,2026-07-13
t010,biwenger,19,auto,2026-07-13
t010,sofascore,2819,auto,2026-07-17
t010,transfermarkt,1050,auto,2026-07-13
t011,biwenger,65,auto,2026-07-13
t011,transfermarkt,1084,auto,2026-07-13
t012,biwenger,70,auto,2026-07-13
t012,sofascore,2818,auto,2026-07-17
t012,transfermarkt,367,auto,2026-07-13
t013,biwenger,75,auto,2026-07-13
t013,sofascore,2846,auto,2026-07-17
t013,transfermarkt,1531,auto,2026-07-13
t014,biwenger,87,auto,2026-07-13
t014,sofascore,2816,auto,2026-07-17
t014,transfermarkt,150,auto,2026-07-13
t015,biwenger,93,auto,2026-07-13
t015,sofascore,2820,auto,2026-07-17
t015,transfermarkt,331,auto,2026-07-13
t016,biwenger,812,auto,2026-07-13
t016,transfermarkt,630,auto,2026-07-13
t017,biwenger,3,manual,2026-07-13
t017,sofascore,2817,auto,2026-07-17
t017,transfermarkt,131,manual,2026-07-13
t018,biwenger,6,manual,2026-07-13
t018,transfermarkt,897,manual,2026-07-13
t019,biwenger,7,manual,2026-07-13
t019,sofascore,2814,auto,2026-07-17
t019,transfermarkt,714,manual,2026-07-13
t020,biwenger,91,manual,2026-07-13
t020,transfermarkt,1108,manual,2026-07-13
t021,biwenger,71,auto,2026-07-17
t021,sofascore,33779,auto,2026-07-17
t021,transfermarkt,16795,auto,2026-07-17
t022,biwenger,22,auto,2026-07-17
t022,sofascore,2858,auto,2026-07-17
t022,transfermarkt,3302,auto,2026-07-17
t023,biwenger,289,auto,2026-07-17
t023,sofascore,24264,auto,2026-07-17
t023,transfermarkt,12321,auto,2026-07-17
t024,biwenger,418,auto,2026-07-17
t024,sofascore,2831,auto,2026-07-17
t024,transfermarkt,366,auto,2026-07-17
t025,biwenger,465,auto,2026-07-17
t025,sofascore,2826,auto,2026-07-17
t025,transfermarkt,237,auto,2026-07-17
t026,biwenger,476,auto,2026-07-17
t026,sofascore,4488,auto,2026-07-17
t026,transfermarkt,2687,auto,2026-07-17
t027,biwenger,89,auto,2026-07-17
t027,sofascore,6577,auto,2026-07-17
t027,transfermarkt,472,auto,2026-07-17
t028,biwenger,92,auto,2026-07-17
t028,sofascore,2845,auto,2026-07-17
t028,transfermarkt,1244,auto,2026-07-17
t029,biwenger,779,auto,2026-07-17
t029,sofascore,2851,auto,2026-07-17
t029,transfermarkt,2497,auto,2026-07-17
